name,navanLink,picture,starRating,navanRating,perNight,total,latitude,longitude
Ann Siang House by The Unlimited Collection managed by The Ascott Limited,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/2dc1d4fc-cfde-4cc6-b646-9667dfe9ed93,https://i.travelapi.com/lodging/23000000/22140000/22134000/22133904/89a0a960_b.jpg,4-star hotel,9.0 Excellent,$182 nightly,"$1,094",,
Singapore Marriott Tang Plaza Hotel,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/e8e5d488-c10f-4308-a823-0ce6216ea04e,https://i.travelapi.com/lodging/1000000/30000/23900/23818/4e6058aa_b.jpg,5-star hotel,8.3 Very good,$236 nightly,"$1,660",1.305109,103.8328767
"PARKROYAL on Beach Road, Singapore",https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/f543711d-b7dd-49b6-a4b7-70ce262fd737,https://i.travelapi.com/lodging/4000000/3040000/3037400/3037335/7e5ead9c_b.jpg,4-star hotel,8.4 Very good,$164 nightly,$981,1.3002036,103.8607609
"Pan Pacific Serviced Suites Beach Road, Singapore",https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/81ca0835-8b04-4b49-8bb0-1d877c0b0052,https://i.travelapi.com/lodging/7000000/6090000/6084000/6083920/w896h1082x0y128-508be264_b.jpg,4-star hotel,8.6 Very good,$245 nightly,"$1,336",1.2995352,103.860035
Hilton Garden Inn Singapore Serangoon,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/8c7c5c3d-b37a-418f-bb9b-76c17c6c9ed8,https://i.travelapi.com/lodging/10000000/9630000/9625800/9625754/7f0e8e01_b.jpg,4-star hotel,8.0 Very good,$126 nightly,$758,1.3083534,103.8519658
Citadines Connect City Centre Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/2cdbee12-eaac-4a3f-96e1-de557ed3a12c,https://i.travelapi.com/lodging/87000000/86150000/86149900/86149818/4224ab0e_b.jpg,4-star hotel,8.6 Very good,$148 nightly,$885,,
Holiday Inn Singapore Orchard City Centre by IHG,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/97609c1c-80ef-4b4c-9001-a72850b15a48,https://i.travelapi.com/lodging/1000000/10000/6200/6152/720e657d_b.jpg,4-star hotel,8.3 Very good,$132 nightly,$914,,
YOTEL Singapore Orchard Road,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/a2046ca8-43e4-4a43-8a6a-c095bce118c3,https://i.travelapi.com/lodging/20000000/19080000/19073900/19073868/6ac4f8ab_b.jpg,4-star hotel,8.2 Very good,$151 nightly,$755,1.3063368,103.8313412
voco Orchard Singapore by IHG,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/ff1975b4-c3c3-4746-8c06-3833d952b59a,https://i.travelapi.com/lodging/1000000/20000/16900/16819/a4f35aa9_b.jpg,5-star hotel,8.3 Very good,$178 nightly,"$1,237",,
Wanderlust by The Unlimited Collection,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/2ec87cd5-69f8-4d33-9fb3-e0b7e543a364,https://i.travelapi.com/lodging/4000000/3720000/3712900/3712865/ceb72f0f_b.jpg,4-star hotel,8.7 Very good,$106 nightly,$636,,
